elapsed_ms,pid,cpu,func,offset,reg,old_value,new_value,instruction
-1782284466809.219,22435,15,test_all,0x4,RSP,(首次),0x0000781bd58fe898,push %rbp
-1782284466809.136,22435,15,test_all,0x17,RAX,0x0000781be3e14340,0x0000000000000027,call 12d0 <test01_global_fptr_call@plt>
-1782284466809.132,22435,15,test01_global_fptr_call,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466809.108,22435,15,test01_global_fptr_call,0x17,RAX,0x0000781be3e14058,0x0000000000000022,"mov 0x2b2c(%rip),%rax"
-1782284466809.104,22435,15,test01_global_fptr_call,0x1e,RAX,0x0000000000000022,0x0000781be3e160e0,"mov (%rax),%rax"
-1782284466809.100,22435,15,test01_global_fptr_call,0x21,RAX,0x0000781be3e160e0,0x0000781be3e133b9,call *%rax
-1782284466809.096,22435,15,test_target_a,0x4,RSP,0x0000781bd58fe880,0x0000781bd58fe878,push %rbp
-1782284466809.072,22435,15,test_target_a,0x19,RSP,0x0000781bd58fe870,0x0000781bd58fe878,ret
-1782284466809.069,22435,15,test01_global_fptr_call,0x24,RSP,0x0000781bd58fe878,0x0000781bd58fe880,pop %rbp
-1782284466809.066,22435,15,test01_global_fptr_call,0x25,RSP,0x0000781bd58fe880,0x0000781bd58fe888,ret
-1782284466809.060,22435,15,test02_local_fptr_call,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466809.034,22435,15,test02_local_fptr_call,0x1b,RAX,0x0000781be3e14080,0x0000000000000021,"mov 0x2aea(%rip),%rax"
-1782284466809.030,22435,15,test02_local_fptr_call,0x26,RAX,0x0000000000000021,0x0000781be3e133d3,"mov -0x8(%rbp),%rax"
-1782284466809.023,22435,15,test_target_b,0x4,RSP,0x0000781bd58fe870,0x0000781bd58fe868,push %rbp
-1782284466809.005,22435,15,test_target_b,0x19,RSP,0x0000781bd58fe860,0x0000781bd58fe868,ret
-1782284466809.002,22435,15,test02_local_fptr_call,0x2d,RSP,0x0000781bd58fe868,0x0000781bd58fe870,leave
-1782284466808.999,22435,15,test02_local_fptr_call,0x2e,RSP,0x0000781bd58fe870,0x0000781bd58fe888,ret
-1782284466808.991,22435,15,test03_table_fptr_call,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466808.967,22435,15,test03_table_fptr_call,0x23,RAX,0x0000781be3e140a8,0x0000000000000000,call 1210 <printf@plt>
-1782284466808.955,22435,15,test03_table_fptr_call,0x34,RAX,0x0000000000000000,0x0000000000000025,"mov -0x4(%rbp),%eax"
-1782284466808.951,22435,15,test03_table_fptr_call,0x41,RAX,0x0000000000000025,0x0000000000000002,"lea 0x2bf5(%rip),%rax"
-1782284466808.948,22435,15,test03_table_fptr_call,0x4c,RAX,0x0000000000000002,0x0000781be3e133ed,call *%rax
-1782284466808.943,22435,15,test_target_c,0x4,RSP,0x0000781bd58fe870,0x0000781bd58fe868,push %rbp
-1782284466808.915,22435,15,test_target_c,0x19,RSP,0x0000781bd58fe860,0x0000781bd58fe868,ret
-1782284466808.912,22435,15,test03_table_fptr_call,0x4f,RSP,0x0000781bd58fe868,0x0000781bd58fe870,leave
-1782284466808.909,22435,15,test03_table_fptr_call,0x50,RSP,0x0000781bd58fe870,0x0000781bd58fe888,ret
-1782284466808.903,22435,15,test04_stack_fptr_call,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466808.886,22435,15,test04_stack_fptr_call,0x1b,RAX,0x0000781be3e140d0,0x0000000000000027,"mov 0x2a9a(%rip),%rax"
-1782284466808.883,22435,15,test04_stack_fptr_call,0x26,RAX,0x0000000000000027,0x0000781be3e133ed,"mov -0x8(%rbp),%rax"
-1782284466808.873,22435,15,test_target_c,0x4,RSP,0x0000781bd58fe870,0x0000781bd58fe868,push %rbp
-1782284466808.847,22435,15,test_target_c,0x19,RSP,0x0000781bd58fe860,0x0000781bd58fe868,ret
-1782284466808.844,22435,15,test04_stack_fptr_call,0x35,RSP,0x0000781bd58fe868,0x0000781bd58fe870,leave
-1782284466808.841,22435,15,test04_stack_fptr_call,0x36,RSP,0x0000781bd58fe870,0x0000781bd58fe888,ret
-1782284466808.836,22435,15,test05_vtable_call,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466808.811,22435,15,test05_vtable_call,0x1b,RAX,0x0000781be3e140f8,0x0000000000000020,"mov 0x2a53(%rip),%rax"
-1782284466808.807,22435,15,test05_vtable_call,0x26,RAX,0x0000000000000020,0x0000781be3e133b9,"mov 0x2a28(%rip),%rax"
-1782284466808.803,22435,15,test05_vtable_call,0x38,RAX,0x0000781be3e133b9,0x0000781be3e133d3,"mov -0x20(%rbp),%rax"
-1782284466808.800,22435,15,test05_vtable_call,0x3c,RAX,0x0000781be3e133d3,0x0000781be3e133b9,call *%rax
-1782284466808.797,22435,15,test_target_a,0x4,RSP,0x0000781bd58fe860,0x0000781bd58fe858,push %rbp
-1782284466808.772,22435,15,test_target_a,0x19,RSP,0x0000781bd58fe850,0x0000781bd58fe858,ret
-1782284466808.766,22435,15,test05_vtable_call,0x42,RAX,0x0000000000000011,0x0000781be3e133d3,call *%rax
-1782284466808.763,22435,15,test_target_b,0x4,RSP,0x0000781bd58fe860,0x0000781bd58fe858,push %rbp
-1782284466808.738,22435,15,test_target_b,0x19,RSP,0x0000781bd58fe850,0x0000781bd58fe858,ret
-1782284466808.734,22435,15,test05_vtable_call,0x45,RSP,0x0000781bd58fe858,0x0000781bd58fe860,leave
-1782284466808.731,22435,15,test05_vtable_call,0x46,RSP,0x0000781bd58fe860,0x0000781bd58fe888,ret
-1782284466808.725,22435,15,test06_callback_arg,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466808.702,22435,15,test06_callback_arg,0x17,RAX,0x0000781be3e14118,0x0000000000000024,"mov 0x29cf(%rip),%rax"
-1782284466808.693,22435,15,call_via_fp,0x4,RSP,0x0000781bd58fe880,0x0000781bd58fe878,push %rbp
-1782284466808.678,22435,15,test_target_d,0x4,RSP,0x0000781bd58fe860,0x0000781bd58fe858,push %rbp
-1782284466808.661,22435,15,test_target_d,0x19,RSP,0x0000781bd58fe850,0x0000781bd58fe858,ret
-1782284466808.658,22435,15,call_via_fp,0x17,RSP,0x0000781bd58fe858,0x0000781bd58fe860,leave
-1782284466808.655,22435,15,call_via_fp,0x18,RSP,0x0000781bd58fe860,0x0000781bd58fe878,ret
-1782284466808.652,22435,15,test06_callback_arg,0x27,RSP,0x0000781bd58fe878,0x0000781bd58fe880,pop %rbp
-1782284466808.649,22435,15,test06_callback_arg,0x28,RSP,0x0000781bd58fe880,0x0000781bd58fe888,ret
-1782284466808.640,22435,15,test07_indirect_jump,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466808.629,22435,15,test07_indirect_jump,0x1c,RAX,0x0000000000000011,0xb16581c513940500,"xor %eax,%eax"
-1782284466808.626,22435,15,test07_indirect_jump,0x1e,RAX,0xb16581c513940500,0x0000000000000000,"lea 0xb43(%rip),%rax"
-1782284466808.612,22435,15,test07_indirect_jump,0x2d,RAX,0x0000781be3e1413c,0x000000000000001a,"mov 0x29b8(%rip),%rax"
-1782284466808.608,22435,15,test07_indirect_jump,0x38,RAX,0x000000000000001a,0x0000781be3e133b9,"mov 0x298d(%rip),%rax"
-1782284466808.605,22435,15,test07_indirect_jump,0x43,RAX,0x0000781be3e133b9,0x0000781be3e133d3,"mov -0x34(%rbp),%eax"
-1782284466808.603,22435,15,test07_indirect_jump,0x46,RAX,0x0000781be3e133d3,0x0000000000000000,"and $0x1,%eax"
-1782284466808.599,22435,15,test07_indirect_jump,0x54,RAX,0x0000000000000000,0x0000781be3e133b9,"mov -0x28(%rbp),%rax"
-1782284466808.594,22435,15,test_target_a,0x4,RSP,0x0000781bd58fe840,0x0000781bd58fe838,push %rbp
-1782284466808.565,22435,15,test_target_a,0x19,RSP,0x0000781bd58fe830,0x0000781bd58fe838,ret
-1782284466808.559,22435,15,test07_indirect_jump,0x65,RAX,0x0000000000000011,0x0000781be3e133ed,"mov -0x30(%rbp),%rax"
-1782284466808.553,22435,15,test_target_c,0x4,RSP,0x0000781bd58fe840,0x0000781bd58fe838,push %rbp
-1782284466808.528,22435,15,test_target_c,0x19,RSP,0x0000781bd58fe830,0x0000781bd58fe838,ret
-1782284466808.522,22435,15,test07_indirect_jump,0x70,RAX,0x0000000000000011,0xb16581c513940500,"sub %fs:0x28,%rax"
-1782284466808.516,22435,15,test07_indirect_jump,0x81,RSP,0x0000781bd58fe840,0x0000781bd58fe888,ret
-1782284466808.507,22435,15,test08_indirect_call_with_retval,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466808.480,22435,15,test08_indirect_call_with_retval,0x1e,RAX,0x0000781be3e14158,0x0000000000000025,"mov 0x2935(%rip),%rax"
-1782284466808.476,22435,15,test08_indirect_call_with_retval,0x29,RAX,0x0000000000000025,0x0000781be3e13421,"mov -0x14(%rbp),%eax"
-1782284466808.464,22435,15,test_target_ret_int,0x4,RSP,0x0000781bd58fe860,0x0000781bd58fe858,push %rbp
-1782284466808.449,22435,15,test_target_ret_int,0x11,RSP,0x0000781bd58fe850,0x0000781bd58fe858,ret
-1782284466808.429,22435,15,test08_indirect_call_with_retval,0x4b,RAX,0x0000781be3e1417d,0x0000000000000000,call 1210 <printf@plt>
-1782284466808.414,22435,15,test08_indirect_call_with_retval,0x52,RSP,0x0000781bd58fe860,0x0000781bd58fe888,ret
-1782284466808.409,22435,15,test09_indirect_call_multiarg,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466808.385,22435,15,test09_indirect_call_multiarg,0x1b,RAX,0x0000781be3e14190,0x0000000000000026,"mov 0x28fd(%rip),%rax"
-1782284466808.382,22435,15,test09_indirect_call_multiarg,0x26,RAX,0x0000000000000026,0x0000781be3e13433,"mov -0x8(%rbp),%rax"
-1782284466808.365,22435,15,test_target_arg,0x4,RSP,0x0000781bd58fe870,0x0000781bd58fe868,push %rbp
-1782284466808.345,22435,15,test_target_arg,0x20,RAX,0x0000000000000014,0x000000000000001e,"add %edx,%eax"
-1782284466808.329,22435,15,test_target_arg,0x33,RAX,0x0000781be3e14044,0x0000000000000000,call 1210 <printf@plt>
-1782284466808.323,22435,15,test_target_arg,0x3a,RSP,0x0000781bd58fe850,0x0000781bd58fe868,ret
-1782284466808.320,22435,15,test09_indirect_call_multiarg,0x3c,RSP,0x0000781bd58fe868,0x0000781bd58fe870,leave
-1782284466808.317,22435,15,test09_indirect_call_multiarg,0x3d,RSP,0x0000781bd58fe870,0x0000781bd58fe888,ret
-1782284466808.311,22435,15,test10_volatile_fptr,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466808.294,22435,15,test10_volatile_fptr,0x1b,RAX,0x0000781be3e141b8,0x0000000000000034,"mov 0x28b7(%rip),%rax"
-1782284466808.291,22435,15,test10_volatile_fptr,0x26,RAX,0x0000000000000034,0x0000781be3e133b9,"mov -0x8(%rbp),%rax"
-1782284466808.284,22435,15,test_target_a,0x4,RSP,0x0000781bd58fe870,0x0000781bd58fe868,push %rbp
-1782284466808.268,22435,15,test_target_a,0x19,RSP,0x0000781bd58fe860,0x0000781bd58fe868,ret
-1782284466808.265,22435,15,test10_volatile_fptr,0x2d,RSP,0x0000781bd58fe868,0x0000781bd58fe870,leave
-1782284466808.262,22435,15,test10_volatile_fptr,0x2e,RSP,0x0000781bd58fe870,0x0000781bd58fe888,ret
-1782284466808.254,22435,15,test11_conditional_indirect,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466808.231,22435,15,test11_conditional_indirect,0x23,RAX,0x0000781be3e141f0,0x0000000000000000,call 1210 <printf@plt>
-1782284466808.228,22435,15,test11_conditional_indirect,0x2e,RAX,0x0000000000000000,0x0000000000000028,"mov 0x2875(%rip),%rax"
-1782284466808.224,22435,15,test11_conditional_indirect,0x46,RAX,0x0000000000000028,0x0000781be3e133b9,"mov -0x8(%rbp),%rax"
-1782284466808.219,22435,15,test_target_a,0x4,RSP,0x0000781bd58fe860,0x0000781bd58fe858,push %rbp
-1782284466808.196,22435,15,test_target_a,0x19,RSP,0x0000781bd58fe850,0x0000781bd58fe858,ret
-1782284466808.193,22435,15,test11_conditional_indirect,0x4d,RSP,0x0000781bd58fe858,0x0000781bd58fe860,leave
-1782284466808.190,22435,15,test11_conditional_indirect,0x4e,RSP,0x0000781bd58fe860,0x0000781bd58fe888,ret
-1782284466808.182,22435,15,test12_switch_style,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466808.158,22435,15,test12_switch_style,0x23,RAX,0x0000781be3e14220,0x0000000000000000,call 1210 <printf@plt>
-1782284466808.146,22435,15,test12_switch_style,0x64,RAX,0x0000000000000000,0x0000000000000024,"mov 0x2800(%rip),%rax"
-1782284466808.142,22435,15,test12_switch_style,0x84,RAX,0x0000000000000024,0x0000781be3e133ed,"mov -0x8(%rbp),%rax"
-1782284466808.135,22435,15,test_target_c,0x4,RSP,0x0000781bd58fe860,0x0000781bd58fe858,push %rbp
-1782284466808.117,22435,15,test_target_c,0x19,RSP,0x0000781bd58fe850,0x0000781bd58fe858,ret
-1782284466808.114,22435,15,test12_switch_style,0x8b,RSP,0x0000781bd58fe858,0x0000781bd58fe860,leave
-1782284466808.111,22435,15,test12_switch_style,0x8c,RSP,0x0000781bd58fe860,0x0000781bd58fe888,ret
-1782284466808.105,22435,15,test13_runtime_computed_target,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466808.094,22435,15,test13_runtime_computed_target,0x19,RAX,0x0000000000000011,0xb16581c513940500,"xor %eax,%eax"
-1782284466808.091,22435,15,test13_runtime_computed_target,0x1b,RAX,0xb16581c513940500,0x0000000000000000,"lea 0xa34(%rip),%rax"
-1782284466808.073,22435,15,test13_runtime_computed_target,0x2a,RAX,0x0000781be3e14248,0x0000000000000025,"mov 0x279d(%rip),%rax"
-1782284466808.070,22435,15,test13_runtime_computed_target,0x35,RAX,0x0000000000000025,0x0000781be3e133b9,"mov 0x2772(%rip),%rax"
-1782284466808.067,22435,15,test13_runtime_computed_target,0x40,RAX,0x0000781be3e133b9,0x0000781be3e133d3,"mov 0x2797(%rip),%rax"
-1782284466808.063,22435,15,test13_runtime_computed_target,0x52,RAX,0x0000781be3e133d3,0x0000781be3e133ed,"mov -0x2c(%rbp),%eax"
-1782284466808.054,22435,15,test_target_c,0x4,RSP,0x0000781bd58fe850,0x0000781bd58fe848,push %rbp
-1782284466808.030,22435,15,test_target_c,0x19,RSP,0x0000781bd58fe840,0x0000781bd58fe848,ret
-1782284466808.024,22435,15,test13_runtime_computed_target,0x6b,RAX,0x0000000000000011,0xb16581c513940500,"sub %fs:0x28,%rax"
-1782284466808.018,22435,15,test13_runtime_computed_target,0x7c,RSP,0x0000781bd58fe850,0x0000781bd58fe888,ret
-1782284466808.012,22435,15,test14_ret_chain,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466807.989,22435,15,test14_ret_chain,0x17,RAX,0x0000781be3e14298,0x0000000000000029,call 1260 <test14_ret_chain_mid@plt>
-1782284466807.986,22435,15,test14_ret_chain_mid,0x4,RSP,0x0000781bd58fe880,0x0000781bd58fe878,push %rbp
-1782284466807.968,22435,15,test14_ret_chain_mid,0x17,RAX,0x0000781be3e14281,0x0000000000000013,call 1270 <test14_ret_chain_deep@plt>
-1782284466807.966,22435,15,test14_ret_chain_deep,0x4,RSP,0x0000781bd58fe870,0x0000781bd58fe868,push %rbp
-1782284466807.940,22435,15,test14_ret_chain_deep,0x19,RSP,0x0000781bd58fe860,0x0000781bd58fe868,ret
-1782284466807.937,22435,15,test14_ret_chain_mid,0x1d,RSP,0x0000781bd58fe868,0x0000781bd58fe870,pop %rbp
-1782284466807.934,22435,15,test14_ret_chain_mid,0x1e,RSP,0x0000781bd58fe870,0x0000781bd58fe878,ret
-1782284466807.931,22435,15,test14_ret_chain,0x1d,RSP,0x0000781bd58fe878,0x0000781bd58fe880,pop %rbp
-1782284466807.927,22435,15,test14_ret_chain,0x1e,RSP,0x0000781bd58fe880,0x0000781bd58fe888,ret
-1782284466807.922,22435,15,test15_double_indirect,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466807.884,22435,15,test15_double_indirect,0x35,RAX,0x0000781be3e142c8,0x0000781be3e133b9,call *%rax
-1782284466807.873,22435,15,test_target_a,0x18,RBP,0x0000781bd58fe880,0x0000781bd58fe860,pop %rbp
-1782284466807.873,22435,15,test_target_a,0x18,RSP,0x0000781bd58fe870,0x0000781bd58fe860,pop %rbp
-1782284466807.868,22435,15,test15_double_indirect,0x38,RSP,0x0000781bd58fe860,0x0000781bd58fe870,leave
-1782284466807.868,22435,15,test15_double_indirect,0x38,RBP,0x0000781bd58fe860,0x0000781bd58fe880,leave
-1782284466807.830,22435,15,get_target,0x42,RAX,0x0000000000000011,0x0000781be3e133ed,"movslq %ecx,%rax"
-1782284466807.827,22435,15,get_target,0x4c,RAX,0x0000781be3e133ed,0x0000000055555556,"shr $0x20,%rax"
-1782284466807.822,22435,15,get_target,0x53,RAX,0x0000000055555556,0x0000000000000000,"mov %ecx,%eax"
-1782284466807.819,22435,15,get_target,0x55,RAX,0x0000000000000000,0x0000000000000001,"sar $0x1f,%eax"
-1782284466807.769,22435,15,test_all,0x80,RAX,0x0000000000000000,0x0000000000000011,call 12f0 <test17_nested_struct_fptr@plt>
-1782284466300.436,22435,15,test_all,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe898,push %rbp
-1782284466300.287,22435,15,test_all,0x17,RAX,0x0000781be3e14340,0x0000000000000027,call 12d0 <test01_global_fptr_call@plt>
-1782284466300.271,22435,15,test01_global_fptr_call,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466300.201,22435,15,test01_global_fptr_call,0x17,RAX,0x0000781be3e14058,0x0000000000000022,"mov 0x2b2c(%rip),%rax"
-1782284466300.190,22435,15,test01_global_fptr_call,0x1e,RAX,0x0000000000000022,0x0000781be3e160e0,"mov (%rax),%rax"
-1782284466300.181,22435,15,test01_global_fptr_call,0x21,RAX,0x0000781be3e160e0,0x0000781be3e133b9,call *%rax
-1782284466300.170,22435,15,test_target_a,0x4,RSP,0x0000781bd58fe880,0x0000781bd58fe878,push %rbp
-1782284466300.095,22435,15,test_target_a,0x19,RSP,0x0000781bd58fe870,0x0000781bd58fe878,ret
-1782284466300.087,22435,15,test01_global_fptr_call,0x24,RSP,0x0000781bd58fe878,0x0000781bd58fe880,pop %rbp
-1782284466300.078,22435,15,test01_global_fptr_call,0x25,RSP,0x0000781bd58fe880,0x0000781bd58fe888,ret
-1782284466300.064,22435,15,test02_local_fptr_call,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466299.995,22435,15,test02_local_fptr_call,0x1b,RAX,0x0000781be3e14080,0x0000000000000021,"mov 0x2aea(%rip),%rax"
-1782284466299.986,22435,15,test02_local_fptr_call,0x26,RAX,0x0000000000000021,0x0000781be3e133d3,"mov -0x8(%rbp),%rax"
-1782284466299.969,22435,15,test_target_b,0x4,RSP,0x0000781bd58fe870,0x0000781bd58fe868,push %rbp
-1782284466299.891,22435,15,test_target_b,0x19,RSP,0x0000781bd58fe860,0x0000781bd58fe868,ret
-1782284466299.882,22435,15,test02_local_fptr_call,0x2d,RSP,0x0000781bd58fe868,0x0000781bd58fe870,leave
-1782284466299.874,22435,15,test02_local_fptr_call,0x2e,RSP,0x0000781bd58fe870,0x0000781bd58fe888,ret
-1782284466299.851,22435,15,test03_table_fptr_call,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
-1782284466299.789,22435,15,test03_table_fptr_call,0x23,RAX,0x0000781be3e140a8,0x0000000000000000,call 1210 <printf@plt>
-1782284466299.752,22435,15,test03_table_fptr_call,0x34,RAX,0x0000000000000000,0x0000000000000025,"mov -0x4(%rbp),%eax"
-1782284466299.741,22435,15,test03_table_fptr_call,0x41,RAX,0x0000000000000025,0x0000000000000002,"lea 0x2bf5(%rip),%rax"
-1782284466299.733,22435,15,test03_table_fptr_call,0x4c,RAX,0x0000000000000002,0x0000781be3e133ed,call *%rax
-1782284466299.724,22435,15,test_target_c,0x4,RSP,0x0000781bd58fe870,0x0000781bd58fe868,push %rbp
-1782284466299.651,22435,15,test_target_c,0x19,RSP,0x0000781bd58fe860,0x0000781bd58fe868,ret
-1782284466299.436,22435,15,test03_table_fptr_call,0x4f,RSP,0x0000781bd58fe868,0x0000781bd58fe870,leave
-1782284466299.427,22435,15,test03_table_fptr_call,0x50,RSP,0x0000781bd58fe870,0x0000781bd58fe888,ret
-1782284466299.022,22435,15,test04_stack_fptr_call,0x4,RSP,0x0000781bd58fe890,0x0000781bd58fe888,push %rbp
